Date,DaysOnMarket
2018-03-31,31.0
2018-04-30,21.0
2018-05-31,19.0
2018-06-30,18.0
2018-07-31,20.0
2018-08-31,22.0
2018-09-30,26.0
2018-10-31,29.0
2018-11-30,33.0
2018-12-31,38.0
2019-01-31,44.0
2019-02-28,41.0
2019-03-31,33.0
2019-04-30,23.0
2019-05-31,20.0
2019-06-30,20.0
2019-07-31,21.0
2019-08-31,24.0
2019-09-30,26.0
2019-10-31,28.0
2019-11-30,31.0
2019-12-31,36.0
2020-01-31,40.0
2020-02-29,36.0
2020-03-31,26.0
2020-04-30,19.0
2020-05-31,18.0
2020-06-30,19.0
2020-07-31,16.0
2020-08-31,14.0
2020-09-30,14.0
2020-10-31,13.0
2020-11-30,13.0
2020-12-31,14.0
2021-01-31,16.0
2021-02-28,14.0
2021-03-31,11.0
2021-04-30,8.0
2021-05-31,7.0
2021-06-30,7.0
2021-07-31,7.0
2021-08-31,8.0
2021-09-30,9.0
2021-10-31,10.0
2021-11-30,10.0
2021-12-31,11.0
2022-01-31,11.0
2022-02-28,10.0
2022-03-31,7.0
2022-04-30,6.0
2022-05-31,6.0
2022-06-30,7.0
2022-07-31,9.0
2022-08-31,12.0
2022-09-30,15.0
2022-10-31,17.0
2022-11-30,19.0
2022-12-31,24.0
2023-01-31,28.0
2023-02-28,26.0
2023-03-31,20.0
2023-04-30,13.0
2023-05-31,11.0
2023-06-30,10.0
2023-07-31,11.0
2023-08-31,12.0
2023-09-30,13.0
2023-10-31,15.0
2023-11-30,17.0
2023-12-31,22.0
2024-01-31,27.0
